file,true_label,ai_percentage,confidence,strong_signals,strong_human_signals,sentence_uniformity,vocab_diversity,repetition_score,pos_pattern,ai_phrases,passive_voice,ngram_diversity,readability,punctuation_diversity,burstiness,human_indicators,semantic_coherence,statistical_outliers,transition_dependency,error_authenticity,contextual_consistency,writing_rhythm,citation_density,information_density,quote_integration_pattern,paragraph_structure,hedging_language,sentence_starter_repetition,comma_splice_runon,vocabulary_consistency,question_density,personal_anecdote,emotional_variation,cliche_usage,meta_commentary,numbered_list,sentence_complexity,slang,contractions,first_person_immediacy,filler_words,sentence_fragments,emphatic_punctuation,punctuation_chaos,informal_punctuation,direct_address,casual_time_refs,strong_opinions,burstiness_score,sentence_entropy,stylometric_signature,discourse_coherence,synonym_overuse,specificity_ratio,punctuation_rhythm,sentence_transition_quality,lexical_sophistication,paragraph_topic_consistency,self_correction,sentence_perplexity_variance
human_1006.txt,human,38.7,82.8,0,0,19.0,35.8,25.5,40.3,0.0,10.0,0.0,65.0,40.0,19.1,57.0,26.3,38.0,8.9,50.0,55.0,25.4,0.0,36.0,50.0,44.5,5.0,25.0,4.0,50.0,50.0,45.0,26.3,50.0,35.0,0.0,23.4,50.0,55.0,35.0,0.0,35.0,35.0,30.0,6.0,5.0,50.0,50.0,25.0,25.0,0.0,45.0,50.0,50.0,25.0,45.0,50.0,28.0,50.0,50
human_1007.txt,human,46.3,87.0,0,0,24.1,54.3,95.0,41.6,0.0,30.0,0.0,65.0,30.0,35.0,42.0,15.5,2.4,0.0,25.0,55.0,29.6,0.0,38.5,50.0,54.5,14.0,20.0,28.0,50.0,30.0,45.0,15.5,50.0,50.0,0.0,28.3,50.0,55.0,25.0,0.0,35.0,20.0,0.0,6.0,5.0,1.0,50.0,25.0,25.0,65.0,45.0,50.0,50.0,25.0,28.0,30.0,28.0,50.0,50
human_1008.txt,human,45.5,85.4,0,0,30.0,51.7,85.0,35.2,12.0,70.0,0.0,65.0,60.0,25.8,58.0,36.2,28.0,4.8,38.0,42.0,61.5,0.0,47.1,50.0,60.0,32.0,46.7,12.0,50.0,50.0,45.0,36.2,50.0,50.0,0.0,34.3,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,25.0,25.0,30.0,30.0,50.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1009.txt,human,49.5,86.0,0,0,0.0,49.0,90.8,44.1,12.0,20.0,0.0,55.0,60.0,27.2,62.0,18.1,12.0,3.8,38.0,65.0,44.5,0.0,68.2,50.0,75.0,31.9,45.0,28.0,48.9,50.0,45.0,18.1,50.0,50.0,0.0,25.3,50.0,55.0,50.0,0.0,50.0,50.0,50.0,0.0,25.0,50.0,50.0,25.0,25.0,30.0,45.0,50.0,65.0,25.0,43.0,50.0,28.0,50.0,50
human_101.txt,human,39.1,66.7,0,0,25.4,23.2,15.8,32.9,0.0,20.0,0.0,65.0,70.0,28.1,88.0,38.4,8.8,0.0,50.0,42.0,32.8,0.0,45.1,50.0,50.0,0.0,20.0,40.0,50.0,50.0,55.0,38.4,50.0,50.0,0.0,26.0,50.0,50.0,50.0,20.0,50.0,50.0,0.0,50.0,5.0,50.0,50.0,25.0,25.0,30.0,50.0,50.0,50.0,42.0,28.0,62.0,50.0,50.0,50
human_1010.txt,human,50.2,92.2,0,0,10.9,57.3,95.0,48.0,24.0,70.0,0.0,65.0,40.0,17.3,81.0,22.9,10.4,8.3,4.0,55.0,44.6,0.0,44.4,50.0,42.1,20.7,11.1,40.0,48.9,50.0,32.0,22.9,50.0,50.0,0.0,21.8,50.0,55.0,35.0,0.0,35.0,50.0,50.0,50.0,5.0,50.0,45.0,25.0,25.0,30.0,45.0,90.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1011.txt,human,45.0,82.3,0,0,46.9,66.1,85.0,34.3,12.0,20.0,0.0,40.0,60.0,30.9,19.0,26.6,0.0,10.4,25.0,55.0,40.0,0.0,20.5,50.0,58.0,4.3,42.9,40.0,50.0,45.0,45.0,26.6,50.0,50.0,0.0,28.6,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,25.0,50.0,45.0,40.0,25.0,35.0,45.0,60.0,30.0,42.0,28.0,30.0,28.0,50.0,50
human_1012.txt,human,45.7,84.1,0,0,43.6,52.1,87.7,32.3,0.0,10.0,0.0,40.0,60.0,25.8,26.0,28.7,38.0,3.2,38.0,55.0,29.6,0.0,32.0,50.0,75.0,21.2,37.7,12.0,50.0,45.0,45.0,28.7,50.0,50.0,0.0,27.6,50.0,55.0,50.0,0.0,35.0,50.0,50.0,50.0,50.0,50.0,50.0,40.0,25.0,35.0,45.0,62.0,50.0,60.0,28.0,30.0,28.0,50.0,50
human_1013.txt,human,47.5,83.2,0,0,29.2,52.5,95.0,42.7,12.0,50.0,0.0,65.0,50.0,21.3,54.0,28.2,28.0,0.0,4.0,42.0,27.2,0.0,35.8,50.0,52.8,6.6,31.8,0.0,50.0,45.0,45.0,28.2,50.0,50.0,0.0,17.3,50.0,55.0,50.0,0.0,35.0,50.0,50.0,30.0,5.0,50.0,50.0,25.0,25.0,35.0,45.0,50.0,65.0,42.0,28.0,50.0,28.0,50.0,50
human_1014.txt,human,40.5,87.0,0,0,31.4,41.1,20.8,47.6,12.0,30.0,0.0,65.0,50.0,12.3,64.0,24.0,38.0,0.0,38.0,55.0,60.3,0.0,60.7,50.0,60.0,13.8,25.4,12.0,47.5,45.0,32.0,24.0,50.0,50.0,0.0,24.4,50.0,55.0,35.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,25.0,25.0,30.0,45.0,62.0,65.0,42.0,45.0,62.0,28.0,50.0,50
human_1015.txt,human,44.2,82.7,0,0,30.8,52.4,85.6,42.3,12.0,30.0,0.0,65.0,30.0,24.8,58.0,19.8,28.0,3.7,4.0,32.0,27.4,0.0,39.9,50.0,28.4,0.0,40.0,40.0,50.0,25.0,45.0,19.8,50.0,50.0,0.0,18.1,50.0,55.0,50.0,20.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,25.0,25.0,35.0,45.0,62.0,65.0,25.0,28.0,50.0,28.0,50.0,50
human_1016.txt,human,40.7,86.4,0,0,43.9,24.7,23.9,43.6,12.0,20.0,0.0,65.0,50.0,16.1,74.0,26.1,28.0,0.0,38.0,55.0,61.4,0.0,40.7,50.0,51.7,0.0,32.5,28.0,49.3,50.0,55.0,26.1,50.0,50.0,0.0,24.1,50.0,55.0,50.0,0.0,50.0,0.0,0.0,50.0,25.0,50.0,50.0,40.0,25.0,30.0,45.0,62.0,50.0,42.0,45.0,62.0,28.0,50.0,50
human_1017.txt,human,48.1,84.7,0,0,46.6,53.0,95.0,44.3,0.0,20.0,0.0,65.0,60.0,31.3,56.0,24.0,28.0,2.0,38.0,42.0,65.0,0.0,35.0,50.0,54.7,20.5,39.7,4.0,50.0,50.0,45.0,24.0,50.0,50.0,0.0,25.5,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,40.0,25.0,0.0,45.0,70.0,50.0,42.0,28.0,50.0,28.0,50.0,50
human_1018.txt,human,38.5,85.1,0,0,46.4,31.2,17.2,42.1,0.0,50.0,0.0,65.0,60.0,30.9,64.0,25.0,28.0,0.0,0.0,42.0,64.3,0.0,38.2,50.0,75.0,4.5,58.2,40.0,50.0,50.0,45.0,25.0,50.0,50.0,0.0,25.4,50.0,55.0,35.0,0.0,50.0,50.0,0.0,50.0,0.0,25.0,45.0,40.0,25.0,30.0,45.0,50.0,50.0,42.0,45.0,50.0,28.0,50.0,50
human_1019.txt,human,46.6,87.9,0,0,16.9,60.5,93.2,34.4,0.0,60.0,0.0,65.0,40.0,32.7,1.0,24.6,9.6,1.9,0.0,42.0,30.8,0.0,41.4,50.0,42.6,9.5,65.0,0.0,50.0,30.0,32.0,24.6,50.0,50.0,0.0,25.4,50.0,55.0,50.0,0.0,35.0,0.0,0.0,0.0,5.0,50.0,45.0,25.0,25.0,0.0,60.0,99.0,50.0,42.0,12.0,50.0,28.0,50.0,50
human_102.txt,human,47.4,72.8,0,0,53.5,24.6,89.2,38.5,0.0,0.0,0.0,65.0,40.0,23.6,92.0,34.3,38.0,0.0,38.0,32.0,65.0,0.0,34.3,50.0,50.0,0.0,50.0,40.0,49.9,50.0,55.0,34.3,50.0,50.0,0.0,30.0,50.0,50.0,50.0,35.0,50.0,50.0,0.0,30.0,50.0,50.0,50.0,40.0,40.0,30.0,50.0,50.0,30.0,42.0,28.0,62.0,50.0,50.0,50
human_1020.txt,human,49.1,91.8,0,0,0.0,78.5,95.0,50.7,0.0,40.0,0.0,55.0,60.0,35.9,44.0,20.8,8.8,1.3,38.0,42.0,42.9,0.0,39.9,50.0,51.1,15.6,49.2,4.0,50.0,50.0,32.0,20.8,50.0,50.0,0.0,28.6,50.0,55.0,35.0,0.0,50.0,50.0,50.0,50.0,0.0,25.0,50.0,25.0,25.0,30.0,60.0,60.0,65.0,42.0,43.0,30.0,45.0,50.0,50
human_1021.txt,human,44.5,81.5,0,0,33.0,37.0,87.0,42.3,0.0,50.0,0.0,65.0,60.0,20.9,59.0,19.7,0.0,0.0,38.0,42.0,61.9,0.0,30.7,50.0,60.0,4.4,13.0,12.0,50.0,50.0,45.0,19.7,50.0,50.0,0.0,29.3,50.0,55.0,35.0,20.0,35.0,50.0,50.0,50.0,5.0,50.0,50.0,40.0,25.0,0.0,45.0,60.0,50.0,42.0,45.0,62.0,28.0,50.0,50
human_1022.txt,human,39.3,87.1,0,0,26.3,50.9,80.0,39.4,0.0,50.0,0.0,65.0,50.0,32.5,15.0,24.3,7.2,0.0,0.0,55.0,31.3,0.0,51.2,50.0,47.6,9.6,58.2,20.0,50.0,45.0,45.0,24.3,50.0,50.0,0.0,27.1,50.0,55.0,50.0,0.0,35.0,0.0,0.0,50.0,5.0,50.0,45.0,25.0,25.0,30.0,45.0,60.0,65.0,42.0,28.0,50.0,28.0,50.0,50
human_1023.txt,human,41.0,84.4,0,0,41.7,55.2,65.0,35.1,0.0,40.0,0.0,65.0,70.0,25.7,40.0,35.0,28.0,0.0,38.0,42.0,64.8,0.0,34.5,50.0,58.8,22.8,34.8,0.0,50.0,50.0,32.0,35.0,50.0,50.0,0.0,29.7,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,40.0,25.0,0.0,45.0,99.0,50.0,60.0,45.0,50.0,28.0,50.0,50
human_1024.txt,human,51.6,88.4,0,0,56.4,55.8,93.0,51.1,24.0,30.0,0.0,65.0,60.0,17.3,88.0,25.9,28.0,8.0,50.0,52.0,30.0,0.0,40.9,50.0,58.9,6.6,12.5,20.0,49.8,50.0,55.0,25.9,50.0,50.0,0.0,18.8,50.0,55.0,50.0,20.0,35.0,50.0,50.0,50.0,5.0,50.0,50.0,40.0,25.0,65.0,45.0,60.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1025.txt,human,46.6,87.1,0,0,36.1,48.7,90.0,42.4,12.0,30.0,0.0,65.0,60.0,30.9,72.0,21.4,28.0,5.4,38.0,52.0,62.8,0.0,51.2,50.0,60.0,22.6,55.0,12.0,50.0,50.0,45.0,21.4,50.0,50.0,0.0,27.9,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,50.0,40.0,25.0,30.0,45.0,70.0,65.0,42.0,28.0,50.0,28.0,50.0,50
human_1026.txt,human,45.7,85.9,0,0,33.9,42.3,86.0,42.8,0.0,20.0,0.0,65.0,50.0,27.7,59.0,24.0,28.0,0.0,38.0,42.0,59.6,0.0,40.8,50.0,60.0,31.2,29.5,0.0,50.0,50.0,45.0,24.0,50.0,50.0,0.0,28.9,50.0,55.0,50.0,0.0,50.0,50.0,50.0,30.0,5.0,50.0,45.0,40.0,25.0,30.0,45.0,99.0,50.0,42.0,45.0,50.0,28.0,50.0,50
human_1027.txt,human,49.9,86.7,0,0,0.0,62.8,95.0,41.9,12.0,20.0,0.0,55.0,60.0,26.0,38.0,28.6,38.0,2.0,38.0,55.0,43.9,0.0,52.7,50.0,75.0,10.2,55.0,0.0,50.0,50.0,45.0,28.6,50.0,50.0,0.0,23.6,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,25.0,50.0,50.0,25.0,25.0,30.0,45.0,60.0,65.0,25.0,43.0,50.0,28.0,50.0,50
human_1028.txt,human,43.4,87.2,0,0,19.2,43.9,85.0,36.5,12.0,60.0,0.0,65.0,60.0,24.7,24.0,29.0,12.0,0.0,38.0,42.0,58.0,0.0,33.6,50.0,37.5,6.9,39.4,0.0,50.0,50.0,32.0,29.0,50.0,50.0,0.0,27.2,50.0,55.0,35.0,0.0,50.0,20.0,0.0,50.0,0.0,1.0,50.0,25.0,25.0,0.0,45.0,70.0,50.0,42.0,45.0,62.0,28.0,28.0,50
human_1029.txt,human,50.2,95.0,0,0,45.9,60.7,95.0,40.6,0.0,30.0,0.0,65.0,60.0,38.1,77.0,23.8,50.0,0.0,38.0,42.0,39.8,0.0,59.6,50.0,47.5,26.2,31.1,28.0,50.0,50.0,45.0,23.8,50.0,50.0,0.0,28.3,50.0,50.0,35.0,0.0,50.0,50.0,50.0,50.0,50.0,25.0,45.0,40.0,25.0,65.0,45.0,62.0,65.0,42.0,43.0,30.0,28.0,50.0,50
human_103.txt,human,50.5,73.4,0,0,28.4,24.5,95.0,28.8,0.0,10.0,0.0,65.0,40.0,30.8,82.0,63.5,38.0,0.0,38.0,32.0,64.1,0.0,23.4,50.0,50.0,0.0,16.7,40.0,50.0,50.0,55.0,63.5,50.0,50.0,0.0,23.6,50.0,50.0,50.0,20.0,35.0,50.0,0.0,50.0,25.0,50.0,50.0,40.0,40.0,35.0,45.0,62.0,50.0,42.0,45.0,50.0,50.0,50.0,50
human_1030.txt,human,45.9,83.8,0,0,48.2,32.3,85.0,50.8,12.0,20.0,0.0,65.0,40.0,19.5,38.0,25.3,38.0,3.9,25.0,42.0,29.8,0.0,51.2,50.0,36.7,3.3,32.5,28.0,48.2,50.0,45.0,25.3,50.0,50.0,0.0,31.0,50.0,55.0,35.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,40.0,25.0,30.0,45.0,70.0,50.0,42.0,45.0,62.0,28.0,50.0,50
human_1031.txt,human,47.8,84.0,0,0,16.8,69.2,91.6,38.6,12.0,40.0,0.0,65.0,60.0,24.3,56.0,22.8,28.0,0.0,4.0,65.0,29.9,0.0,25.9,50.0,50.0,9.5,44.3,0.0,50.0,50.0,45.0,22.8,50.0,50.0,0.0,16.9,50.0,55.0,50.0,0.0,35.0,50.0,50.0,6.0,5.0,50.0,50.0,25.0,25.0,0.0,60.0,60.0,50.0,42.0,43.0,50.0,28.0,50.0,50
human_1032.txt,human,48.9,84.9,0,0,0.0,64.0,95.0,57.6,0.0,20.0,0.0,65.0,50.0,34.2,46.0,21.3,38.0,0.0,4.0,55.0,18.0,0.0,66.9,50.0,60.0,5.0,44.3,0.0,50.0,30.0,45.0,21.3,50.0,50.0,0.0,17.2,50.0,55.0,50.0,0.0,35.0,50.0,50.0,50.0,25.0,50.0,50.0,25.0,25.0,30.0,60.0,62.0,65.0,42.0,43.0,30.0,28.0,50.0,50
human_1033.txt,human,48.9,90.4,0,0,18.2,60.7,95.0,40.2,12.0,50.0,0.0,65.0,30.0,16.7,49.0,21.7,12.0,1.5,4.0,42.0,24.2,0.0,68.1,50.0,39.7,2.6,45.8,0.0,47.7,45.0,45.0,21.7,50.0,50.0,0.0,14.6,50.0,55.0,50.0,0.0,35.0,35.0,30.0,30.0,5.0,50.0,50.0,25.0,25.0,30.0,45.0,60.0,65.0,42.0,28.0,62.0,28.0,50.0,50
human_1034.txt,human,36.9,81.2,0,0,19.3,44.3,33.3,34.7,0.0,40.0,0.0,65.0,40.0,31.2,36.0,21.8,3.2,0.0,25.0,55.0,25.5,0.0,32.4,50.0,57.1,3.6,28.0,4.0,50.0,14.0,45.0,21.8,50.0,50.0,0.0,28.7,50.0,55.0,35.0,0.0,50.0,50.0,50.0,50.0,5.0,25.0,50.0,25.0,25.0,0.0,45.0,60.0,50.0,42.0,28.0,30.0,28.0,50.0,50
human_1035.txt,human,45.1,91.5,0,0,46.1,39.3,85.0,50.5,12.0,10.0,0.0,65.0,60.0,21.9,43.0,20.5,38.0,2.6,4.0,55.0,62.8,0.0,53.2,50.0,60.0,4.3,23.6,28.0,49.3,50.0,45.0,20.5,50.0,50.0,0.0,27.8,50.0,55.0,50.0,0.0,50.0,35.0,30.0,50.0,0.0,50.0,45.0,40.0,25.0,30.0,45.0,62.0,65.0,42.0,45.0,62.0,28.0,50.0,50
human_1036.txt,human,46.9,82.0,0,0,1.3,59.1,91.7,49.5,12.0,10.0,0.0,65.0,60.0,27.7,45.0,23.0,38.0,0.0,25.0,55.0,22.9,0.0,30.5,50.0,60.0,4.9,30.0,20.0,50.0,45.0,45.0,23.0,50.0,50.0,0.0,15.4,50.0,50.0,50.0,0.0,50.0,50.0,30.0,0.0,5.0,50.0,50.0,25.0,25.0,0.0,45.0,50.0,30.0,25.0,43.0,50.0,28.0,50.0,50
human_1037.txt,human,43.1,91.0,0,0,38.5,42.0,65.0,51.5,0.0,70.0,0.0,65.0,50.0,15.5,77.0,22.5,28.0,3.0,0.0,52.0,36.8,0.0,56.9,50.0,36.7,5.1,60.5,28.0,47.5,50.0,45.0,22.5,50.0,50.0,0.0,22.2,50.0,55.0,0.0,0.0,35.0,35.0,30.0,30.0,0.0,25.0,50.0,40.0,25.0,65.0,45.0,99.0,65.0,42.0,45.0,62.0,28.0,50.0,50
human_1038.txt,human,44.3,89.4,0,0,30.1,67.6,87.2,35.7,24.0,80.0,0.0,65.0,50.0,31.4,9.0,20.7,38.0,7.4,0.0,42.0,27.0,0.0,34.3,50.0,39.6,44.7,45.9,0.0,50.0,45.0,45.0,20.7,50.0,50.0,0.0,38.6,50.0,55.0,50.0,0.0,35.0,0.0,0.0,30.0,5.0,50.0,50.0,25.0,25.0,0.0,60.0,62.0,50.0,42.0,12.0,50.0,28.0,50.0,50
human_1039.txt,human,42.7,79.2,0,0,3.0,52.0,85.0,33.4,0.0,10.0,0.0,65.0,50.0,34.8,38.0,24.8,28.0,0.0,38.0,55.0,59.3,0.0,17.3,50.0,53.8,19.9,6.2,4.0,50.0,18.8,55.0,24.8,50.0,50.0,0.0,26.7,50.0,50.0,50.0,0.0,50.0,50.0,50.0,30.0,25.0,50.0,50.0,25.0,25.0,0.0,45.0,50.0,30.0,42.0,28.0,30.0,28.0,50.0,50
human_104.txt,human,42.4,90.7,0,0,54.5,34.5,65.0,38.7,0.0,40.0,0.0,65.0,20.0,11.4,76.0,37.9,28.0,13.2,38.0,42.0,34.6,0.0,39.6,50.0,50.0,7.3,15.8,40.0,48.2,50.0,55.0,37.9,50.0,50.0,0.0,18.3,35.0,50.0,50.0,20.0,50.0,50.0,0.0,6.0,5.0,50.0,45.0,40.0,25.0,65.0,30.0,62.0,50.0,42.0,28.0,62.0,50.0,50.0,50
human_1040.txt,human,44.9,90.9,0,0,32.7,54.0,85.2,41.8,0.0,40.0,0.0,65.0,50.0,29.4,47.0,24.8,50.0,7.3,4.0,55.0,35.7,0.0,43.3,50.0,55.0,20.2,53.6,20.0,49.9,50.0,32.0,24.8,50.0,50.0,0.0,25.1,50.0,55.0,50.0,0.0,35.0,35.0,30.0,50.0,5.0,50.0,50.0,40.0,25.0,30.0,45.0,60.0,65.0,42.0,28.0,50.0,28.0,50.0,50
human_1041.txt,human,50.6,88.3,0,0,0.0,65.7,95.0,47.7,12.0,70.0,0.0,55.0,50.0,27.1,63.0,25.5,38.0,1.5,38.0,42.0,55.9,0.0,57.9,50.0,51.8,25.0,65.0,0.0,48.6,50.0,45.0,25.5,50.0,50.0,0.0,23.1,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,25.0,25.0,30.0,45.0,90.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1042.txt,human,45.7,85.9,0,0,58.5,50.4,87.2,34.8,0.0,40.0,0.0,65.0,60.0,28.9,45.0,23.7,38.0,0.0,50.0,42.0,40.0,0.0,30.0,50.0,58.6,40.6,47.2,50.0,50.0,45.0,55.0,23.7,50.0,50.0,0.0,32.0,50.0,55.0,35.0,20.0,50.0,50.0,50.0,50.0,5.0,50.0,50.0,40.0,25.0,65.0,45.0,60.0,30.0,42.0,28.0,50.0,28.0,50.0,50
human_1043.txt,human,49.7,83.5,0,0,61.4,50.6,91.3,41.8,12.0,10.0,0.0,40.0,50.0,15.8,62.0,23.4,0.8,0.0,50.0,42.0,65.0,0.0,32.7,50.0,35.0,4.5,32.0,20.0,50.0,45.0,45.0,23.4,50.0,50.0,0.0,25.3,50.0,55.0,35.0,0.0,35.0,50.0,50.0,50.0,5.0,50.0,50.0,60.0,25.0,35.0,45.0,50.0,50.0,42.0,28.0,62.0,28.0,50.0,50
human_1044.txt,human,44.9,83.2,0,0,37.8,45.6,89.9,45.0,0.0,10.0,0.0,65.0,40.0,28.0,75.0,23.3,28.0,0.0,4.0,42.0,38.2,0.0,34.9,50.0,48.1,0.0,46.9,20.0,50.0,45.0,45.0,23.3,50.0,50.0,0.0,21.1,50.0,55.0,50.0,20.0,50.0,50.0,50.0,50.0,5.0,50.0,50.0,40.0,25.0,0.0,45.0,70.0,50.0,42.0,28.0,50.0,28.0,50.0,50
human_1045.txt,human,42.6,83.9,0,0,17.4,40.3,70.0,49.8,12.0,40.0,0.0,65.0,60.0,18.8,77.0,20.3,9.6,0.0,4.0,42.0,59.0,0.0,62.1,50.0,75.0,7.3,23.0,50.0,48.6,50.0,32.0,20.3,50.0,50.0,0.0,34.3,50.0,55.0,50.0,0.0,50.0,50.0,50.0,50.0,5.0,50.0,45.0,25.0,25.0,30.0,45.0,60.0,65.0,42.0,45.0,62.0,28.0,50.0,50
